"MSE";"Ratio_IC";"Time_train";"Time_pred";"Method";"M"
0,979516426377797;100;0,523624658584595;0,0372817516326904;"GPFDA";6
3,01447287311688;100;3,73427772521973;0,0303068161010742;"Algo";6
NA;NA;0;0,00138306617736816;"One GP";6
6,81457088563315;100;1,2811393737793;0,0377404689788818;"GPFDA";6
3,62591852998543;100;5,53883337974548;0,031003475189209;"Algo";6
NA;NA;0;0,00138616561889648;"One GP";6
3,65288204524567;100;1,12749052047729;0,0371363162994385;"GPFDA";6
6,58835893676414;76,6666666666667;4,60593819618225;0,0307142734527588;"Algo";6
NA;NA;0;0,00139379501342773;"One GP";6
1,73256881889874;100;0,497750282287598;0,0369498729705811;"GPFDA";6
0,2572660162866;100;3,43198585510254;0,030587911605835;"Algo";6
NA;NA;0;0,00141453742980957;"One GP";6
0,120030222928789;100;0,886755228042603;0,0368294715881348;"GPFDA";6
8,05538890478485;76,6666666666667;3,63096690177917;0,0305097103118896;"Algo";6
NA;NA;0;0,00139784812927246;"One GP";6
8,18852298185027;100;1,10294771194458;0,038001537322998;"GPFDA";6
9,87216515992975;100;3,86647701263428;0,030656099319458;"Algo";6
NA;NA;0;0,001739501953125;"One GP";6
4,37725485661368;100;0,643401145935059;0,0487041473388672;"GPFDA";6
0,100266759137472;100;4,30412411689758;0,0301563739776611;"Algo";6
NA;NA;0;0,00175213813781738;"One GP";6
1,15024130282113;100;1,24382996559143;0,0368266105651855;"GPFDA";6
11,6474851381763;56,6666666666667;3,68944191932678;0,0301148891448975;"Algo";6
NA;NA;0;0,00139856338500977;"One GP";6
9,27359528214064;100;1,07363605499268;0,0365593433380127;"GPFDA";6
0,441816963219541;90;7,43685007095337;0,0304200649261475;"Algo";6
NA;NA;0;0,00139117240905762;"One GP";6
0,415006046514221;100;1,19958686828613;0,0371789932250977;"GPFDA";6
2,06691568574532;96,6666666666667;5,62041711807251;0,0318944454193115;"Algo";6
NA;NA;0;0,00144052505493164;"One GP";6
