"MSE";"Ratio_IC";"Time_train";"Time_pred";"Method";"M"
0,189741967608354;100;18,5193562507629;0,428299903869629;"Algo";51
NA;NA;0;0,00163078308105469;"One GP";51
0,283538830690885;100;11,4562966823578;0,207756519317627;"GPFDA";51
2,4687997066095;96,6666666666667;21,2935395240784;0,276529550552368;"Algo";51
NA;NA;0;0,00140166282653809;"One GP";51
3,1504305180768;100;7,53162574768066;0,16407299041748;"GPFDA";51
1,20447924482889;90;24,072514295578;0,282893419265747;"Algo";51
NA;NA;0;0,00140643119812012;"One GP";51
9,67552225317584;100;11,4429612159729;0,163825750350952;"GPFDA";51
0,0513842362525595;100;20,6642620563507;0,352420568466187;"Algo";51
NA;NA;0;0,00143623352050781;"One GP";51
0,106420500434422;100;9,7812385559082;0,164204359054565;"GPFDA";51
0,0328622578919263;93,3333333333333;26,3526365756989;0,270984888076782;"Algo";51
NA;NA;0;0,00143837928771973;"One GP";51
0,345892901691202;100;10,8279328346252;0,16710376739502;"GPFDA";51
0,084242638669028;100;23,1321420669556;0,269119262695312;"Algo";51
NA;NA;0;0,00141668319702148;"One GP";51
0,141803062693825;100;11,4416811466217;0,172083854675293;"GPFDA";51
0,273809694755628;100;17,9502229690552;0,27202033996582;"Algo";51
NA;NA;0;0,00146007537841797;"One GP";51
0,309340699373042;100;12,1576504707336;0,162819385528564;"GPFDA";51
0,0423860056843605;100;25,4091417789459;0,258073806762695;"Algo";51
NA;NA;0;0,00146794319152832;"One GP";51
0,0426171731656626;100;11,3489120006561;0,196914434432983;"GPFDA";51
0,677251069582901;86,6666666666667;49,1540150642395;0,330296039581299;"Algo";51
NA;NA;0;0,00141644477844238;"One GP";51
1,28279250079928;100;8,34422898292542;0,244174957275391;"GPFDA";51
0,860363583506605;76,6666666666667;19,3820838928223;0,264705419540405;"Algo";51
NA;NA;0;0,00139904022216797;"One GP";51
1,52693635765478;100;12,3903913497925;0,190679788589478;"GPFDA";51
0,0538479362792896;100;38,1168088912964;0,255861043930054;"Algo";51
NA;NA;0;0,00140476226806641;"One GP";51
9,52847354048675;90;10,7604975700378;0,172246217727661;"GPFDA";51
0,0951499109054877;96,6666666666667;20,7672290802002;0,270037889480591;"Algo";51
NA;NA;0;0,00142621994018555;"One GP";51
1,12859896344844;100;12,8106224536896;0,173369407653809;"GPFDA";51
0,337884863030012;100;21,8751013278961;0,274102687835693;"Algo";51
NA;NA;0;0,00143766403198242;"One GP";51
0,635523002996948;100;7,91064763069153;0,167162418365479;"GPFDA";51
0,516383648567142;100;17,7140727043152;0,382760047912598;"Algo";51
NA;NA;0;0,00173282623291016;"One GP";51
1,18843864964603;100;13,3511610031128;0,193537712097168;"GPFDA";51
0,208978161228493;100;19,687616109848;0,306196451187134;"Algo";51
NA;NA;0;0,00143551826477051;"One GP";51
0,754194572144095;100;7,74539589881897;0,169852018356323;"GPFDA";51
0,711223764614646;100;19,0676243305206;0,256970882415771;"Algo";51
NA;NA;0;0,00142574310302734;"One GP";51
0,811225978518946;100;11,2765352725983;0,191754341125488;"GPFDA";51
0,507638456493984;96,6666666666667;18,5300817489624;0,262612819671631;"Algo";51
NA;NA;0;0,00140070915222168;"One GP";51
0,860466696095412;100;14,7851042747498;0,188827037811279;"GPFDA";51
0,0418881250229683;100;20,9907791614532;0,256470203399658;"Algo";51
NA;NA;0;0,00140905380249023;"One GP";51
0,356889351722645;100;12,2637917995453;0,16603422164917;"GPFDA";51
0,578037704226113;96,6666666666667;45,1333854198456;0,385987997055054;"Algo";51
NA;NA;0;0,0014350414276123;"One GP";51
2,05079840948683;100;12,5431113243103;0,16895055770874;"GPFDA";51
1,18963872995973;100;25,0776114463806;0,274811506271362;"Algo";51
NA;NA;0;0,00141549110412598;"One GP";51
1,46915328316684;100;11,9506084918976;0,174446105957031;"GPFDA";51
0,0806205406537841;93,3333333333333;21,3759016990662;0,272541522979736;"Algo";51
NA;NA;0;0,00146055221557617;"One GP";51
0,02288642699617;100;10,9342634677887;0,175520896911621;"GPFDA";51
0,715793452631678;90;24,799932718277;0,273095846176147;"Algo";51
NA;NA;0;0,00141072273254395;"One GP";51
1,98188612999998;100;9,94655680656433;0,178960084915161;"GPFDA";51
1,05212779132586;90;29,420583486557;0,255863666534424;"Algo";51
NA;NA;0;0,00142788887023926;"One GP";51
1,30765010384202;100;12,4038698673248;0,188263654708862;"GPFDA";51
0,48521744830956;100;19,8607037067413;0,255560874938965;"Algo";51
NA;NA;0;0,0014045238494873;"One GP";51
0,412294346761053;100;12,4390687942505;0,248566627502441;"GPFDA";51
0,928004280236366;100;21,0148386955261;0,327172994613647;"Algo";51
NA;NA;0;0,00141787528991699;"One GP";51
0,716431357876503;100;7,3451554775238;0,177772998809814;"GPFDA";51
0,097948959393866;96,6666666666667;19,1532790660858;0,266074419021606;"Algo";51
NA;NA;0;0,00139760971069336;"One GP";51
0,104855289441251;100;10,7791309356689;0,168941736221313;"GPFDA";51
0,251033352541065;93,3333333333333;18,197514295578;0,276826858520508;"Algo";51
NA;NA;0;0,00139403343200684;"One GP";51
0,265538790399179;100;11,5873198509216;0,171574592590332;"GPFDA";51
0,745967481474071;100;19,9583899974823;0,282321929931641;"Algo";51
NA;NA;0;0,0014338493347168;"One GP";51
1,26894225663746;100;12,7862930297852;0,169338941574097;"GPFDA";51
1,00468773191808;66,6666666666667;18,161928653717;0,273388624191284;"Algo";51
NA;NA;0;0,00139355659484863;"One GP";51
2,77352530964637;100;11,8107373714447;0,176139354705811;"GPFDA";51
0,0526162466187247;100;23,7591395378113;0,3409583568573;"Algo";51
NA;NA;0;0,0015873908996582;"One GP";51
0,13072991479124;100;10,86541056633;0,173006772994995;"GPFDA";51
2,38851809175973;100;19,7535610198975;0,255591154098511;"Algo";51
NA;NA;0;0,00139737129211426;"One GP";51
16,5434233182633;100;11,4195799827576;0,19271183013916;"GPFDA";51
0,272642016491248;100;23,0841982364655;0,256190299987793;"Algo";51
NA;NA;0;0,00140190124511719;"One GP";51
0,490294417525135;100;6,57916283607483;0,188980102539062;"GPFDA";51
0,485938941906307;100;31,3702557086945;0,25664758682251;"Algo";51
NA;NA;0;0,0014030933380127;"One GP";51
4,27239783674483;100;7,99756789207458;0,174864768981934;"GPFDA";51
1,14787433868411;93,3333333333333;19,9686300754547;0,79810094833374;"Algo";51
NA;NA;0;0,00140905380249023;"One GP";51
1,59058724942226;100;7,40190124511719;0,163064002990723;"GPFDA";51
0,142339854913976;100;17,8333582878113;0,27810263633728;"Algo";51
NA;NA;0;0,00147128105163574;"One GP";51
0,282019382651806;100;8,81802868843079;0,181267976760864;"GPFDA";51
1,60131520083478;66,6666666666667;18,3394675254822;0,371740341186523;"Algo";51
NA;NA;0;0,00158357620239258;"One GP";51
0,379956220507556;100;11,49857878685;0,18337869644165;"GPFDA";51
0,0476957787432711;100;25,9470047950745;0,259909391403198;"Algo";51
NA;NA;0;0,00139546394348145;"One GP";51
2,44065144281249;100;11,8536221981049;0,190539360046387;"GPFDA";51
0,457088370837778;33,3333333333333;42,1221432685852;0,254460334777832;"Algo";51
NA;NA;0;0,00139641761779785;"One GP";51
0,354449979188467;100;12,7770566940308;0,185147047042847;"GPFDA";51
0,255635186396521;100;25,1717824935913;0,261243104934692;"Algo";51
NA;NA;0;0,00140929222106934;"One GP";51
1,2362731896085;100;11,7819864749908;0,18568754196167;"GPFDA";51
