"";"MSE";"Ratio_IC";"Time_train";"Time_pred";"Method";"M"
"636";5,10948174198847;100;2,12419414520264;0,0667941570281982;"GPFDA";16
"637";2,05964649685425;100;17,53848528862;0,0821816921234131;"Algo";16
"638";NA;NA;0;0,00149631500244141;"One GP";16
"639";2,38524291754931;100;5,14749026298523;0,0715513229370117;"GPFDA";16
"640";0,73660411234313;100;64,4419679641724;0,183192253112793;"Algo";16
"641";NA;NA;0;0,0014493465423584;"One GP";16
"642";4,2511931222501;100;3,78072476387024;0,0660891532897949;"GPFDA";16
"643";3,87892625749643;56,6666666666667;21,6949126720428;0,164253950119019;"Algo";16
"644";NA;NA;0;0,00144243240356445;"One GP";16
"645";8,32662146347446;100;4,07061123847961;0,0684266090393066;"GPFDA";16
"646";1,74144655365534;100;24,7252786159515;0,0835137367248535;"Algo";16
"647";NA;NA;0;0,00150632858276367;"One GP";16
"648";0,904382069720569;100;3,81466317176819;0,0676107406616211;"GPFDA";16
"649";2,60022337465974;86,6666666666667;24,0799760818481;0,106040954589844;"Algo";16
"650";NA;NA;0;0,00185298919677734;"One GP";16
"651";1,98319228922522;100;1,74843859672546;0,0755612850189209;"GPFDA";16
"652";0,612088447667382;100;18,9037125110626;0,0886282920837402;"Algo";16
"653";NA;NA;0;0,00147223472595215;"One GP";16
"654";1,36741020900248;100;2,17996883392334;0,0915892124176025;"GPFDA";16
"655";1,65990424641975;100;17,8308472633362;0,193996429443359;"Algo";16
"656";NA;NA;0;0,00161147117614746;"One GP";16
"657";3,40099855740168;100;3,67436909675598;0,0797951221466064;"GPFDA";16
"658";0,917215897917198;100;20,7999203205109;0,0937538146972656;"Algo";16
"659";NA;NA;0;0,00157499313354492;"One GP";16
"660";3,31318860275329;100;4,4257504940033;0,0780761241912842;"GPFDA";16
"661";4,82102554105971;93,3333333333333;24,4159309864044;0,0931799411773682;"Algo";16
"662";NA;NA;0;0,00162577629089355;"One GP";16
"663";0,893839220833764;100;4,84644341468811;0,0797450542449951;"GPFDA";16
"664";2,30885140162972;100;19,4282882213593;0,115165233612061;"Algo";16
"665";NA;NA;0;0,00146842002868652;"One GP";16
"666";0,796739121229914;100;4,39647078514099;0,0768423080444336;"GPFDA";16
"667";0,373601601676888;100;25,7124423980713;0,199600696563721;"Algo";16
"668";NA;NA;0;0,00164461135864258;"One GP";16
"669";0,644937963871843;100;2,11229538917542;0,076284646987915;"GPFDA";16
"670";0,383470667796585;100;21,6790606975555;0,106441259384155;"Algo";16
"671";NA;NA;0;0,00162672996520996;"One GP";16
"672";1,09332328283543;100;4,44917058944702;0,0748486518859863;"GPFDA";16
"673";2,47946114453556;83,3333333333333;22,9028537273407;0,0903651714324951;"Algo";16
"674";NA;NA;0;0,00161147117614746;"One GP";16
"675";2,26048131584626;100;2,59461736679077;0,0755600929260254;"GPFDA";16
"676";0,54424717681357;100;25,001633644104;0,0900578498840332;"Algo";16
"677";NA;NA;0;0,00148534774780273;"One GP";16
"678";0,488447405370987;100;1,89356446266174;0,0733985900878906;"GPFDA";16
"679";4,58468735896817;36,6666666666667;40,5799984931946;0,123201370239258;"Algo";16
"680";NA;NA;0;0,00157833099365234;"One GP";16
"681";2,52794804085616;100;1,64276003837585;0,0863144397735596;"GPFDA";16
"682";1,35725862475976;100;23,3064141273499;0,0824935436248779;"Algo";16
"683";NA;NA;0;0,00140380859375;"One GP";16
"684";1,79177164134635;100;3,71187162399292;0,0676658153533936;"GPFDA";16
"685";4,02565339053654;100;34,0061559677124;0,0810432434082031;"Algo";16
"686";NA;NA;0;0,00146269798278809;"One GP";16
"687";3,14464824508452;100;1,79071116447449;0,0660755634307861;"GPFDA";16
"688";2,70147817575429;100;19,7804872989655;0,0869672298431396;"Algo";16
"689";NA;NA;0;0,00642037391662598;"One GP";16
"690";4,92413334411768;100;3,7070837020874;0,132644176483154;"GPFDA";16
"691";1,54072598479358;100;25,6491730213165;0,144958972930908;"Algo";16
"692";NA;NA;0;0,0014796257019043;"One GP";16
"693";1,41660177117458;100;3,21412777900696;0,0851640701293945;"GPFDA";16
"694";3,64121102893336;63,3333333333333;18,3914613723755;0,0821559429168701;"Algo";16
"695";NA;NA;0;0,00141358375549316;"One GP";16
"696";4,16157782553513;100;3,52910685539246;0,0669138431549072;"GPFDA";16
"697";1,7623658412401;100;28,1691069602966;0,0817635059356689;"Algo";16
"698";NA;NA;0;0,00144195556640625;"One GP";16
"699";0,846506212090581;100;5,24333190917969;0,0677487850189209;"GPFDA";16
"700";2,06295423073334;93,3333333333333;21,1725492477417;0,231598615646362;"Algo";16
"701";NA;NA;0;0,00141763687133789;"One GP";16
"702";0,512382855205089;100;3,64906907081604;0,100738525390625;"GPFDA";16
"703";0,687971417668139;90;22,0322687625885;0,172001838684082;"Algo";16
"704";NA;NA;0;0,0014503002166748;"One GP";16
"705";1,02944762808866;100;3,1999032497406;0,0667331218719482;"GPFDA";16
"706";0,731017596981696;100;20,9575703144073;0,0843384265899658;"Algo";16
"707";NA;NA;0;0,00142669677734375;"One GP";16
"708";0,91349890029754;100;4,05405712127686;0,09326171875;"GPFDA";16
"709";4,08820390042821;80;14,9752614498138;0,0854067802429199;"Algo";16
"710";NA;NA;0;0,00142192840576172;"One GP";16
"711";4,12116418840561;100;2,00829195976257;0,066734790802002;"GPFDA";16
"712";2,04237492436802;100;22,2076463699341;0,0818424224853516;"Algo";16
"713";NA;NA;0;0,00142908096313477;"One GP";16
"714";1,85722900221547;100;2,26467323303223;0,0756065845489502;"GPFDA";16
"715";5,71867968743056;83,3333333333333;23,4551239013672;0,0824651718139648;"Algo";16
"716";NA;NA;0;0,00142788887023926;"One GP";16
"717";5,79411555117554;100;3,67807674407959;0,0669746398925781;"GPFDA";16
"718";1,50143996796402;86,6666666666667;16,7222921848297;0,0953934192657471;"Algo";16
"719";NA;NA;0;0,001434326171875;"One GP";16
"720";2,20548502424333;100;2,79777121543884;0,0683567523956299;"GPFDA";16
"721";0,507510676744913;100;23,6720538139343;0,0814270973205566;"Algo";16
"722";NA;NA;0;0,00144481658935547;"One GP";16
"723";1,16851304082258;100;4,12579941749573;0,068425178527832;"GPFDA";16
"724";0,852452238649481;100;19,2119567394257;0,111500978469849;"Algo";16
"725";NA;NA;0;0,00143599510192871;"One GP";16
"726";0,734355950794344;100;3,92088437080383;0,0671257972717285;"GPFDA";16
"727";2,68763055170496;70;42,5409440994263;0,0942351818084717;"Algo";16
"728";NA;NA;0;0,00142645835876465;"One GP";16
"729";1,33854739066351;100;4,34145641326904;0,0667872428894043;"GPFDA";16
"730";4,27103632115068;76,6666666666667;17,8122978210449;0,0812983512878418;"Algo";16
"731";NA;NA;0;0,00140500068664551;"One GP";16
"732";2,77821117485343;100;1,8463819026947;0,0674350261688232;"GPFDA";16
"733";1,0142979761864;100;27,922593832016;0,105205297470093;"Algo";16
"734";NA;NA;0;0,00139307975769043;"One GP";16
"735";3,72963854303348;100;3,40339779853821;0,0702314376831055;"GPFDA";16
"736";2,53224865328223;100;17,9513187408447;0,131944894790649;"Algo";16
"737";NA;NA;0;0,001434326171875;"One GP";16
"738";1,73832324342968;100;2,34615159034729;0,066150426864624;"GPFDA";16
"739";0,967564800324223;100;17,5303406715393;0,0964815616607666;"Algo";16
"740";NA;NA;0;0,00142717361450195;"One GP";16
"741";0,913079372571745;100;3,26372337341309;0,0658838748931885;"GPFDA";16
"742";0,442471631537523;100;37,5233798027039;0,153653144836426;"Algo";16
"743";NA;NA;0;0,00143146514892578;"One GP";16
"744";0,400111744201468;100;5,01338768005371;0,14754581451416;"GPFDA";16
"745";1,09036415291114;93,3333333333333;25,3673844337463;0,0826406478881836;"Algo";16
"746";NA;NA;0;0,00153350830078125;"One GP";16
"747";2,3921205758797;100;1,94697880744934;0,149931669235229;"GPFDA";16
"748";1,52455762510561;100;17,7716815471649;0,0847504138946533;"Algo";16
"749";NA;NA;0;0,00144696235656738;"One GP";16
"750";0,385344803740156;100;3,91809487342834;0,0658371448516846;"GPFDA";16
"751";1,52576605843863;90;19,1201024055481;0,0821046829223633;"Algo";16
"752";NA;NA;0;0,00140261650085449;"One GP";16
"753";1,41996516743589;100;2,5872266292572;0,0697183609008789;"GPFDA";16
"754";0,499744468644271;100;21,9821834564209;0,0871138572692871;"Algo";16
"755";NA;NA;0;0,00141525268554688;"One GP";16
"756";0,983220373871094;100;3,41657638549805;0,0716774463653564;"GPFDA";16
"757";0,169265214091327;100;19,548718214035;0,156957864761353;"Algo";16
"758";NA;NA;0;0,00142168998718262;"One GP";16
"759";0,328553901076081;100;3,82935810089111;0,104999303817749;"GPFDA";16
"760";1,46582118820131;100;36,0978198051453;0,124934434890747;"Algo";16
"761";NA;NA;0;0,00139856338500977;"One GP";16
"762";1,67330654857239;100;2,23776268959045;0,0667684078216553;"GPFDA";16
"763";5,91767752413869;96,6666666666667;26,0482995510101;0,0824034214019775;"Algo";16
"764";NA;NA;0;0,00141286849975586;"One GP";16
"765";11,5190261866222;100;2,62644505500793;0,0671689510345459;"GPFDA";16
"766";1,40338726865977;90;21,1557822227478;0,0816195011138916;"Algo";16
"767";NA;NA;0;0,00141811370849609;"One GP";16
"768";1,12524239027183;100;3,87734913825989;0,0671291351318359;"GPFDA";16
"769";1,38549829045266;100;24,9787752628326;0,115690469741821;"Algo";16
"770";NA;NA;0;0,00141477584838867;"One GP";16
"771";1,64039534108396;100;4,5353524684906;0,0875933170318604;"GPFDA";16
"772";2,74853012974511;100;19,5377430915833;0,082944393157959;"Algo";16
"773";NA;NA;0;0,00147032737731934;"One GP";16
"774";3,1672452167152;100;2,1547646522522;0,0826880931854248;"GPFDA";16
"775";2,0473804292622;93,3333333333333;20,281581401825;0,0814101696014404;"Algo";16
"776";NA;NA;0;0,00144767761230469;"One GP";16
"777";2,65044767831316;100;2,2066650390625;0,067481517791748;"GPFDA";16
"778";0,841617466547205;100;23,7209956645966;0,085784912109375;"Algo";16
"779";NA;NA;0;0,00149369239807129;"One GP";16
"780";0,855266509672384;100;4,36062407493591;0,0754411220550537;"GPFDA";16
"781";0,325538496895487;100;15,9473493099213;0,089799165725708;"Algo";16
"782";NA;NA;0;0,00150895118713379;"One GP";16
"783";0,183713106708311;100;4,7455575466156;0,0705156326293945;"GPFDA";16
"784";1,30552422215277;100;20,9572191238403;0,237512350082397;"Algo";16
"785";NA;NA;0;0,00165820121765137;"One GP";16
"786";0,310132226967989;100;4,54803824424744;0,0808234214782715;"GPFDA";16
"787";0,854409743362253;100;15,0725066661835;0,0934822559356689;"Algo";16
"788";NA;NA;0;0,00170588493347168;"One GP";16
"789";2,22818520882787;100;2,4632842540741;0,0781168937683105;"GPFDA";16
"790";0,455345715688554;100;24,2160673141479;0,0934131145477295;"Algo";16
"791";NA;NA;0;0,00167560577392578;"One GP";16
"792";0,671443915039204;100;1,88136219978333;0,0885496139526367;"GPFDA";16
"793";3,79487544194867;80;23,9976048469543;0,115830898284912;"Algo";16
"794";NA;NA;0;0,00174808502197266;"One GP";16
"795";3,60002794197012;100;1,44590926170349;0,0802907943725586;"GPFDA";16
"796";5,75141826224319;56,6666666666667;18,0694465637207;0,107720613479614;"Algo";16
"797";NA;NA;0;0,00159144401550293;"One GP";16
